Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Urban;12;[ur·ban || 'ɜrbən /'ɜːbən];of or having to do with cities or towns;از شهر یا مربوط به شهر;"a. Many businesses open offices in urban areas.

b. I plan to exchange my urban location for a rural one.

c. Only a small minority of the people of the United States live far from any urban area."
Population;12;[pop·u·la·tion || 'pɑpjə'leɪʃn /‚pɒpjʊ-];people of a city or country;افراد یک شهر یا کشور ، جمعیت;"a. China has the largest population of any country.

b. The population of the world has increased in every decade.

c. After the recent floods, the population of Honduras was reduced by 10,000."
Frank;12;[fræŋk];"free in expressing one's real thoughts, opinions, or feelings; not hiding what is in one's mind";در بیان اندیشه ها ، عقاید و احساسات واقعی آزاد است ، آنچه در ذهن است پنهان نمی کند ، رک;"a. Never underestimate the value of being frank with one another.

b. Eretha was completely frank when she told her friend about the sale.

c. People liked Duffy because they knew he would be frank with them."
Pollute;12;[pol·lute || pə'luːt];make dirty;آلوده کردن;"a. The Atlantic Ocean is in danger of becoming polluted.

b. There is much evidence to show that the air we breathe is polluted.

c. It is claimed that soap powders pollute the water we drink."
Reveal;12;[re·veal || rɪ'vɪːl];make known;آشکار ساختن;"a. Napoleon agreed to reveal the information to the French population

b. The evidence was revealed only after hours of questioning.

c. General Motors revealed reluctantly that there were defects in their new Buicks."
Prohibit;12;[pro·hib·it || prəʊ'hɪbɪt /prə-];forbid by law or authority;قانوناً منع کردن;"a. Elvin's manager prohibited him from appearing on television.

b. Many homeowners prohibit others from walking on their property.

c. The law prohibits the use of guns to settle a conflict."
Urgent;12;['ur·gent || 'ɜrdʒənt /'ɜːd-];"demanding immediate action or attention; important";اقدام یا توجه فوری را می طلبد ، مهم;"a. An urgent telephone call was made to the company's treasurer.

b. The principal called an urgent meeting to solve the school's numerous problems.

c. When he heard the urgent cry for help, the lifeguard did not hesitate."
Adequate;12;[ad·e·quate || 'ædɪkwət];"as much as is needed; fully sufficient";آن مقدار که مورد نیاز است ، کاملاً کافی;"a. Rover was given an adequate amount of food to last him the whole lesson.

b. A bedroom, kitchen, and bath were adequate shelter for his living needs.

c. Carlos was adequate at his job but he wasn't great."
Decrease;12;[de·crease || diː'kriːs];make or become less;کاهش دادن یا کاهش یافتن;"a. As he kept spending money, the amount he had saved decreased.

b. In order to improve business, the store owner decreased his prices.

c. The landlord promised to decrease our rent."
Audible;12;"[au·di·ble || 'ɔːdəbl]

]";able to be heard;قابل سمع;"a. From across the room, the teacher's voice was barely audible.

b. After Len got his new hearing aid, my telephone calls became audible.

c. Commands from Ann's drill sergeant were always easily audible."
Journalist;13;['jour·nal·ist || 'dʒɜrnəlɪst /'dʒɜːn-];one who writes for, edits, manages, or produces a newspaper or magazine;کسی که برای روزنامه یا مجله مطلب می نویسد ، ویرایش می کند و روزنامه یا مجله ای را تولید یا اداره می کند ، روزنامه نگار;"a. There were four journalists covering the murder story.

b. Barbara's experience working at a book store wasn't adequate preparation for becoming a journalist.

c. A journalist must have a comprehensive knowledge of the city where he or she works."
Famine;13;[fam·ine || 'fæmɪn];"starvation; great shortage";گرسنگی ، کمبود زیاد;"a. Famine in India caused the death of one-tenth of the population.

b. There has been a famine of good writing in the last decade.

c. The rumor of a famine in Europe was purely fiction."
Revive;13;[re·vive || rɪ'vaɪv];bring back or come back to life or consciousness;زنده کردن یا به هوش آوردن;"a. There is a movement to revive old plays for modern audiences.

b. The nurses tried to revive the heart attack victim.

c. Committees are trying to revive interest in population control."
Commence;13;[com·mence || kə'mens];"begin; start";آغاز کردن ، آغاز شدن;"a. Graduation will commence at ten o'clock.

b. Bella hesitated before commencing her speech.

c. The discussion commenced with a report on urban affairs."
Observant;13;[ob'serv·ant || əb'sɜrvnt /əb'sɜː-];"quick to notice; watchful";تیز بین ، مراقب;"a. We were observant of the conflict between the husband and his wife.

b. Because Cato was observant, he was able to reveal the thief's name.

c. Milt used his excellent vision to be observant of everything in his vicinity."
Identify;13;"[i·den·ti·fy || aɪ'dentɪfaɪ]

[i·den·ti·fy || aɪ'dentɪfaɪ]";"recognize as being, or show to be, a certain person or thing; prove to be the same";شناسایی کردن ، تشخیص دادن;"a. Numerous witnesses identified the butcher as the thief.

b. Mrs. Shaw was able to identify the painting as being hers.

c. With only a quick glimpse, Reggie was able to identify his girlfriend in the crowd."
Migrate;13;[maɪ'greɪt];move from one place to another;از جایی به جایی نقل مکان کردن ، مهاجرت کردن;"a. The fruit pickers migrated to wherever they could find work.

b. Much of our population is constantly migrating to other areas of the country.

c. My grandfather migrated to New York from Italy in 1919."
Vessel;13;[ves·sel || 'vesl];"a ship; a hollow container; tube containing body fluid";کشتی ، ظرف توخالی ، لوله ای که حاوی خون است ، رگ;"a. The Girl Scouts were permitted a glimpse of the vessel being built when they toured the Navy Yard.

b. My father burst a blood vessel when he got the bill from the garage.

c. Congress voted to decrease the amount of money being spent on space vessels."
Persist;13;[per·sist || pər'sɪst /pə's-];"continue firmly; refuse to stop or be changed";قاطعانه ادامه دادن ، از توقف یا تغییر امتناع ورزیدن;"a. The humid weather persisted all summer.

b. Would Lorraine's weird behavior persist, we all wondered?

c. L10yd persisted in exaggerating everything he said."
Hazy;13;[ha·zy || 'heɪzɪ];"misty; smoky; unclear";مه آلود ، پردود ، مبهم ، نامشخص;"a. The vicinity of London is known to be hazy.

b. Factories that pollute the air create hazy weather conditions.

c. Although Cora had a great memory, she was unusually hazy about the details of our meeting on January 16th."
Gleam;13;[glɪːm];"a flash or beam of lightperson who prepares a publication; one who corrects a manuscript and helps to improve it";درخشش ، جرقه ای از نور;"a. A gleam of light shone through the prison window.

b. The only source of light in the cellar came in the form of a gleam through a hole in the wall.

c. My grandmother gets a gleam in her eyes when she sees the twins."
Editor;13;['ed·i·tor || 'edɪtə(r)];"person who prepares a publication; one who corrects a manuscript and helps to improve it";شخصی که نشریه ای را آماده می سازد ، کسیکه نسخه ای دست نویس را تصحیح می کند و به بهبود آن کمک میی کند ، ویراستار;"a. The student was proud to be the editor of the school newspaper.

b. Meredith's journalistic knowledge came in handy when he was unexpectedly given the job of editor of The Bulletin.

c. It is undeniable that the magazine has gotten better since Ellis became editor."
Unruly;14;[un·ru·ly || ʌn'ruːlɪ];"hard to rule or control; lawless";نافرمان ، غیر قانونی ، شرور;"a. Unruly behavior is prohibited at the pool.

b. When he persisted in acting unruly, Ralph was fired from his job.

c. His unruly actions were a menace to those who were trying to work."
Rival;14;[ri·val || 'raɪvl];"person who wants and tries to get the same thing as another; one who tries to equal or do better than another";رقیب ، حریف;"a. The boxer devised an attack which would help him to be victorious over his young rival.

b. Sherry didn't like to compete because she always thought her rival would win.

c. Seidman and Son decided to migrate to an area where they would have fewer rivals."
Violent;14;['vi·o·lent || 'vaɪələnt];acting or done with strong, rough force;خشن ، خشونت آمیز;"a. Carefully, very carefully, we approached the violent man.

b. Violent behavior is prohibited on school grounds.

c. Vernon had a tendency to be violent when someone angered him."
Brutal;14;[bru·tal || 'bruːtl];"coarse and savage; like a brute; cruel";خشن و وحشی ، مثل جانور بی رحم;"a. Dozens of employees quit the job because the boss was brutal to them.

b. The brutal track coach persisted in making the team work out all morning under the hot sun.

c. Swearing to catch the murderer, the detectives revealed that it had been an unusually brutal, violent crime."
Opponent;14;[op·po·nent || ə'pəʊnənt];"person who is on the other side of a fight, game, or discussion; person fighting, struggling or speaking against another";کسی که طرف دیگر جنگ ، بازی یا بحث است ، کسی که علیه شخص دیگری می جنگد ، مبارزه می کند یا حرف می زند ;"a. The Russian chess player underestimated his opponent and lost.

b. He was a bitter opponent of costly urban reform.

c. Seeing his flabby opponent, Slugger was sure he would be victorious."
Brawl;14;[brɔːl];a noisy quarrel or fight;بحث یا جنگ پر سر و صدا;"a. The journalist covered all the details of the brawl in the park.

b. Larry dreaded a brawl with his father over finding a job.

c. What started out as a polite discussion soon became a violent brawl."
Duplicate;14;[du·pli·cate || 'djuːplɪkət];"an exact copy; make an exact copy of; repeat exactly";کپی دقیق ، کپی کردن ، دقیقاً تکرار کردن;"a. Elliott tried to deceive Mrs. Held by making a duplicate of my paper.

b. We duplicated the document so that everyone had a copy to study.

c. The so-called expert did a mediocre job of duplicating the Van Gogh painting."
Vicious;14;[vi·cious || 'vɪʃəs];"evil; wicked; savage";پست ، بدجنس ، وحشی;"a. Liza was unpopular because she was vicious to people she had just met.

b. The vicious editor published false stories about people he disliked.

c. Mr. Voss was reluctant to talk about his vicious pit bull."
Whirling;14;[hwɜrl /wɜːl /wɜːl];"turning or swinging round and round; spinning";به دور خود چرخیدن ، چرخیدن;"a. The space vessel was whirling around before it landed on earth.

b. As they tried to lift the bulky piano, the movers went whirling across the living room.

c. Because Angelo drank too much, he commenced to feel that everything was whirling around the bar."
Underdog;14;[ˈəndərˌdôg];"person having the worst of any struggle; one who is expected to lose";شخصی که بد ترین شرایط مبارزه را دارد ، شخصی که انتظار می رود بازنده شو د، بازنده;"a. Minority groups complain about being the underdogs in this century.

b. I always feel sorry for the underdog in a street fight.

c. The Jets were identified as underdogs even though they had beaten the Los Angeles Rams earlier in the season."
Thrust;14;[θrʌst];push with force;با نیرو هل دادن ، پرتاب کردن;"a. Once the jet engine was ignited, it thrust the rocket from the ground.

b. He had adequate strength to thrust himself through the locked door.

c. Eva was in a terrible rage when she thrust herself into the room."
Bewildered;14;[be·wil·der || bɪ'wɪldə];"confused completely; puzzled";کاملاً گیج ، مبهوت;"a. The lawyer was bewildered by his client's lack of interest in the case.

b. His partner's weird actions left Jack bewildered.

c. Bewildered by the sudden hazy weather, he decided not to go to the beach."
Expand;15;[ex·pand || ɪk'spænd];"increase in size; enlarge; swell";از نظر اندازه افزایش یافتن ، بزرگ شدن ، متورم شدن;"a. We will expand our business as soon as we locate a new building.

b. Present laws against people who pollute the air must be expanded.

c. Expanding the comic strips, the editor hoped that more people would buy his paper."
Alter;15;[al·ter || 'ɔːltə];"make different; change; vary";دگرگون کردن ، تغییر دادن ، تغییر کردن;"a. I altered my typical lunch and had a steak instead.

b. Dorothy agreed to alter my dress if I would reveal its cost to her.

c. It's absurd to spend money to alter that old candy store."
Mature;15;[ma·ture || mə'tjʊə(r)];"ripe; fully grown or developed";رسیده ، کاملاً رشد کرده یا تکامل یافته;"a. I could tell that Mitch was mature from the way he persisted in his work.

b. Only through mature study habits can a person hope to gain knowledge.

c. It is essential that you behave in a mature way in the business world."
Sacred;15;[sa·cred || 'seɪkrɪd];"worthy of respect; holy";شایسته احترام ، مقدس;"a. Her sacred medal had to be sold because the family was in urgent need of money.

b. It was revealed by the journalist that the sacred temple had been torn down.

c. Kate made a sacred promise to her parents never to miss a Sunday church service."
Revise;15;[re·vise || rɪ'vaɪz];"change; alter; bring up to date";تغییر دادن ، دگرگون کردن ، به روز کردن;"a. My family revised its weekend plans when the weather turned hazy.

b. The dictionary was revised and then published in a more expensive edition.

c. Under the revised rules, Shane was eliminated from competing."
Pledge;15;[pledʒ];promise;قول دادن;"a. Before the grand jury, the sinister gangster pledged to tell the whole truth.

b. Monte was reluctant to pledge his loyalty to his new girlfriend.

c. Pledged to discovering the facts, the journalist began to dig up new evidence for his readers."
Casual;15;[cas·u·al || 'kæʒjʊəl];"happening by chance; not planned or expected; not calling attention to itself";تصادفاً رخ می دهد ، برنامه ریزی نشده یا غیر منتظره ، توجه را به خود جلب نمی کند;"a. As the villain stole the money from the blind man, he walked away in a casual manner.

b. The bartender made a casual remark about the brawl in the backroom.

c. Following a casual meeting on the street, the bachelor renewed his friendship with the widow."
Pursue;15;[pur·sue || pər'suː /pə'sju-];"follow; proceed along";پیروی کردن ، دنبال کردن;"a. We pursued the bicycle thief until he vanished from our vision.

b. Ernie rowed up the river, pursuing it to its source.

c. The senior wanted to pursue urban affairs as his life's work."
Unanimous;15;[u·nan·i·mous || juː'nænɪməs];in complete agreement;در توافق کامل ، هم رای;"a. The class was unanimous in wanting to eliminate study halls.

b. There has never been an election in our union which was won by a unanimous vote.

c. The Senate, by a unanimous vote, decided to decrease taxes."
Fortunate;15;[for·tu·nate || 'fɔrtʃnət /'fɔːt-];"having good luck; lucky";دارای اقبال خوب ، خوش شانس;"a. Wesley was fortunate to have an adequate sum of money in the bank.

b. It is fortunate that the famine did not affect our village.

c. The underdog was fortunate enough to come out a winner."
Pioneer;15;[pi·o·neer || ‚paɪə'nɪr /-'nɪə];one who goes first or prepares a way for others;فردی که ابتدا می رود یا راهی را برای دیگران آماده می سازد ، پیشگام;"a. My grandfather was a pioneer in selling wholesale products.

b. England was a pioneer in building large vessels for tourists.

c. In the fourth grade I assembled a picture collection of great American pioneers."
Innovative;15;['in·no·va·tive || ɪnəveɪtɪv];"fresh; clever; having new ideas";تازه ، مبتکرانه ، دارای اندیشه های جدید ، نوین;"a. The innovative ads for the candy won many new customers.

b. Everyone in our office praised the boss for his innovative suggestions.

c. Nicole decided to alter her approach and become more innovative."
Slender;16;[slen·der || 'slendə(r)];"long and thin; limited; slight";کشیده و باریک ، محدود ، اندک;"a. Carlotta's slender figure made her look somewhat taller than she was.

b. There was only a slender chance that you could conceal the truth.

c. The slender thief was able to enter the apartment through the narrow window."
Surpass;16;[sur·pass || sər'pæs /sə'pɑːs];"do better than; be greater than; excel";بهتر بودن از ، بیشتر بودن از ، برتری داشتن;"a. The machines of the twentieth century surely surpass those of earlier times.

b. Most farmers believe that rural life far surpasses urban living.

c. It is undeniable that a cold lemonade in July cannot be surpassed."
Vast;16;[væst /vɑːst];"very great; enormous";بسیار زیاد ، عظیم;"a. Daniel Boone explored vast areas that had never been settled.

b. Our campus always seems vast to new students.

c. Vast differences between the two sides were made clear in the debate."
Doubt;16;[daʊt];"not believe; not be sure of; feel uncertain about; lack of certainty";باور نکردن ، مطمئن نبودن از ، احساس اطمینان نکردن ، عدم اطمینان ، تردید کردن;"a. Scientists doubt that a total cure for cancer will be found soon.

b. The question of whether he could survive the winter was left in doubt.

c. We don't doubt that the tradition of marriage will continue."
Capacity;16;[ca'pac·i·ty || -sətɪ];"amount of room or space inside; largest amount that can be held by a container";مقدار جا یا فضای داخل ، بیشترین مقداری که یک ظرف می تواند بگیرد ، ظرفیت;"a. A sign in the elevator stated that its capacity was 1100 pounds.

b. The gasoline capsule had a capacity of 500 gallons.

c. So well-liked was the prominent speaker that the auditorium was filled to capacity when he began his lecture."
Penetrate;16;[pen·e·trate || 'penɪtreɪt];get into or through;داخل یا وارد شدن;"a. We had to penetrate the massive wall in order to hang the mirror.

b. Although Kenny tried to pound the nail into the rock with a hammer, he couldn't penetrate the hard surface.

c. The thieves penetrated the banks security and stole the money."
Pierce;16;[pɪrs /pɪəs];"go into; go through; penetrate";وارد شدن ، داخل شدن ، نفوذ کردن;"a. My sister is debating whether or not to get her ears pierced.

b. I tried to ignore his bad violin playing, but the sound was piercing.

c. Halloran violently pierced the skin of his rival, causing massive bleeding."
Accurate;16;['ac·cu·rate || 'ækjərət];exactly right as the result of care or pains;دقیق ، صحیح ، درست;"a. Ushers took an accurate count of the people assembled in the theatre.

b. Emma's vision was so accurate that she didn't need glasses.

c. In writing on the topic, Vergil used accurate information."
Microscope;16;[mi·cro·scope || 'maɪkrəskəʊp];instrument with a lens for making objects larger so that one can see things more clearly;ابزاری دارای یک لنز برای بزرگتر کردن اشیاء که فرد بتواند آن ها را واضح تر ببیند ، میکروسکوپ ;"a. The students used a microscope to see the miniature insect.

b. When Young Oprah's birthday came around, her uncle gave her a microscope.

c. Using a microscope, the scientist was able to probe into the habits of germs."
Grateful;16;[grate·ful || 'greɪtfʊl];"feeling gratitude; thankful";احساس قدر دانی کردن ، ممنون;"a. The majority of pupils felt grateful for Mr. Ash's help.

b. We were grateful that the gloomy weather cleared up on Saturday.

c. In his letter, Waldo told how grateful he was for the loan."
Cautious;16;[cau·tious || 'kɔːʃəs];"very careful; never taking chances";بسیار دقیق ، هرگز بر اساس احتمال عمل نمی کند ;"a. Be cautious when you choose your opponent.

b. Good authors are cautious not to exaggerate when they write.

c. If the rain is falling in torrents, it is best to drive cautiously."
Confident;16;[con·fi·dent || 'kɒnfɪdənt];"firmly believing; certain; sure";معتقد سفت و سخت ، مطمئن;"a. Judge Emery was confident he could solve the conflict.

b. When he lifted the burden, Scotty was confident he could carry it.

c. Annette was confident she would do well as a nurse."
Appeal;17;[ap·peal || ə'piːl];"attraction; interest; to urge";جذابیت , علاقه ، خواهش کردن;"a. Anything Jorge could get at wholesale price had a great appeal for him.

b. My boss always appeals to his employees to work swiftly and neatly.

c. I found her clothing designs to be enormously appealing."
Addict;17;[ad·dict || 'ædɪkt];"one who cannot break away from a habit or practice; addicted unable to break a habit";کسی که نمی تواند عادت یا عملی را ترک کند ، معتاد;"a. Because he was a heroin addict, it was essential for Carlos to get the drug each lesson.

b. Marcia became flabby because she was addicted to ice cream sodas.

c. Those who take aspirins and other pain-killers regularly should realize that they may become drug addicts, too."
Wary;17;[war·y || 'werɪ /'weərɪ];"on one's guard against danger or trickery; cautious";مراقب در برابر خطر یا فریب ، محتاط;"a. Marilyn's mother told her to be wary of strangers with a gleam in their eye.

b. After Orlando had been the victim of a cheat, he was wary of those who said they wanted to help him.

c. Living in a polluted city makes you wary of the air you breathe."
Aware;17;[a·ware || ə'weə];"knowing; realizing";آگاه ، مطلع;"a. Donna was aware of her tendency to exaggerate.

b. It was some time before the police became aware of the brawl which was taking place on the street.

c. The only way to gain knowledge is to be aware of everything around you."
Misfortune;17;[mɪs'fɔrtʃən /-'fɔː-];bad luck;بد شانسی;"a. It was my misfortune that our car wasn't thoroughly checked before the trip through the desert.

b. Being bitten by the vicious dog was quite a misfortune for Tommy.

c. I had the misfortune of working for a greedy man."
Avoid;17;[a·void || ə'vɔɪd];"keep away from; keep out of the way of";دوری کردن از ، اجتناب کردن از;"a. If you are fortunate, you can avoid people who are trying to deceive you.

b. There was no way to avoid noticing her beautiful green eyes.

c. Avoid getting into a brawl if you can."
Wretched;17;[wretch·ed || 'retʃɪd];"very unsatisfactory; miserable";بسیار نامطلوب ، اسفبار;"a. I feel wretched after a night when I've scarcely slept.

b. There was unanimous agreement that we had seen a wretched movie.

c. Toby had wretched luck at the gambling tables."
Keg;17;[keg];small barrel, usually holding less than ten gallons;بشکه ای کوچک که معمولاً کمتر از ده گالن می گیرد;"a. The corner saloon uses numerous kegs of beer on a Saturday night.

b. Get a keg of nails, the carpenter shouted at me,

c. It is obvious to me that the situation is filled with peril, a real powder keg if I ever saw one."
Nourish;17;[nour·ish || 'nɜrɪʃ /'nʌ-];"make or keep alive and well, with food; feed; develop an attitude";با غذا سالم و سرحال نگه داشتن ، تغذیه کردن;"a. A diet of nourishing food is served to every hospital patient.

b. It was easy to detect that the skinny boy was not well nourished.

c. After the operation, our doctor plans to nourish my mother with vitamins and good food."
Harsh;17;[hɑrʃ /hɑːʃ];"rough to the touch, taste, eye, or ear; sharp";زمخت برای حس لامسه ، چشایی ، بینایی ، یا شنوایی ، تند;"a. The law is harsh on people who go around menacing others.

b. Looking at his cigarette, Phil realized it was absurd to inhale such harsh smoke.

c. Hazel altered her tone of voice from a harsh one to a soft tone."
Quantity;17;[quan·ti·ty || 'kwɑntətɪ /'kwɒ-];amount;مقدار;"a. I never neglect to carry a small quantity of money with me.

b. Who believes that quantity is better than quality?

c. A large quantity of meat is always stored in our freezer."
Opt;17;[ɑpt /ɒpt];"choose or favor; select";انتخاب کردن یا پسندیدن ، برگزیدن;"a. If you give me an ice cream choice, I'll opt for chocolate.

b. Our cheerleaders plan to opt for new sweaters.

c. On Friday, three of my buddies will opt to go into the navy."
Tragedy;18;[trag·e·dy || 'trædʒɪdɪ];"a very sad or trrible happening; a sad play";رخدادی بسیار غم انگیز ،یا وحشتناک ، نمایش غم انگیز;"a. It was a tragedy that some pioneers were killed on their way west.

b. If you had your choice between seeing a comedy or a tragedy, which play would you choose?

c. Harry's enormous jealousy led to the tragedy in their family."
Pedestrian;18;[pe·des·tri·an || pɪ'destrɪən];"person who goes on foot; walker";شخصی که پیاده می رود ، عابر پیاده;"a. After driving a bus all lesson, Norris liked to be a pedestrian and take long, casual walks in the evening.

b. The police say it is urgent that pedestrians stay on the sidewalk.

c. I don't doubt that a pedestrian can get places faster than a car in downtown traffic."
Glance;18;[glæns /glɑːns];"to look at quickly; a quick look";به سرعت نگاه کردن ، نگاه سریع;"a. The observant driver glanced at the accident at the side of the road.

b. I took one glance at the wretched animal and turned away.

c. Thompson identified the burglar after a glance at the photograph in the police station."
Budget;18;[budg·et || 'bʌdʒɪt];estimate of the amount of money that can be spent for different purposes in a given time;تخمین مقدار پولی که می توان در زمان مشخصی برای اهداف مختلف خرج کرد;"a. We had to decrease the budget this year because our club is broke.

b. The prominent executive presented her budget to the Board of Directors.

c. When my mother draws up her budget for the week, she sets aside a goodly sum for nourishing food."
Nimble;18;[nim·ble || 'nɪmbl];"active and sure-footed; quick moving; light and quick";فعال و با قدم های مطمئن ، چالاک ، سبک و سریع;"a. Although Dusty was a miniature poodle, he was nimble enough to fight bigger dogs.

b. The nimble policeman leaped over the fence to pursue the car thief.

c. At his press conference, the commissioner was quite nimble in avoiding the difficult questions."
Manipulate;18;[ma·nip·u·late || mə'nɪpjəleɪt /-jʊl-];handle or treat skillfully;ماهرانه برخورد یا رفتار کردن;"a. Scientists must know how to manipulate their microscopes.

b. While Mr. Baird manipulated the puppets, Fran spoke to the audience.

c. The wounded pilot manipulated the radio dial until he made contact."
Reckless;18;[reck·less || 'reklɪs];"careless; heedless; wild";بی دقت ، بی توجه ، وحشی;"a. We must not ignore reckless drivers; we must take them off the road.

b. After breaking his hand fighting recklessly, Arthur decided to be more cautious in the future.

c. The reckless smoker ignited the entire forest."
Horrid;18;[ˈhôrid];"terrible; frightful";وحشتناک ، ترسناک;"a. Janey avoided staring at the horrid man's face.

b. It is simply horrid the way cars pollute the air we breathe.

c. When Mary was good, she was very good, but when she was bad, she was horrid."
Rave;18;[reɪv];talk wildly;وحشیانه حرف زدن;"a. Shortly after taking the drug, the addict began to rave and foam at the mouth.

b. Speedy raved that his car had the capacity to reach 120 miles per hour.

c. Sadie was confident that Mr. Stebbe would rave about her essay."
Economical;18;[,e·co'nom·i·cal || ‚'ekə'nɑmɪkl /-nɒm-];not wasting money or time;پول یا وقت را هدر نمی دهد ، اقتصادی ، صرفه جو;"a. I find it economical to shop in the large supermarkets.

b. Marissa was praised for her economical management of the budget.

c. The President made Congress aware of the need to be more economical."
Lubricate;18;[lu·bri·cate || 'luːbrɪkeɪt];make (machinary) smooth and easy to work by putting on oil, grease, or a similar substance;با قرار دادن روغن ، گریس و مواد مشابه ، کار با ماشین آلات را راحت و هموار کردن ، روغن کاری کردن;"a. The bulky wheels of a railroad train must be lubricated each week.

b. A large quantity of grease is needed to lubricate an airplane engine.

c. When a watch is lubricated, it keeps more accurate time."
Ingenious;18;[in·gen·ious || ɪn'dʒɪːnɪəs];"having great mental ability; clever";داری توانایی ذهنی زیاد ، زرنگ;"a. Bernie devised an ingenious plan to cheat on his income tax.

b. Rube Goldberg was a journalist who won fame for his ingenious inventions.

c. The master spy had an ingenious way of passing secrets to the agent."
Harvest;19;[har·vest || 'hɑrvɪst /'hɑːv-];gathering in of grain or other food crops;جمع آوری غلات یا دیگر محصولات غذایی;"a. This year's harvest was adequate to feed all our people.

b. The farmer decided to expand his fields so that he would get a bigger harvest.

c. If the harvest is poor, there is always the possibility of a famine."
Abundant;19;[a'bundant || -nt];"more than enough; very plentiful";بیش از حد کافی ، بسیار فراوان;"a. It is urgent that the hospital have an abundant supply of blood.

b. An abundant harvest was predicted by the Secretary of Agriculture.

c. In recent years an abundant number of complaints have disturbed the telephone company."
Uneasy;19;[ˌənˈēzē];"restless; disturbed; anxious";بیقرار ، آشفته ، نگران;"a. Mrs. Spinner was uneasy about letting her son play in the vicinity of the railroad tracks.

b. The treasurer was uneasy about the company's budget

c. Arnold felt uneasy about the meeting even though he tried to act in a casual manner."
Calculate;19;[cal·cu·late || 'kælkjʊleɪt];"find out by adding, subtracting, multiplying, or dividing; figure";پی بردن از طریق جمع ، تفریق ، ضرب و تقسیم کردن ، حساب کردن;"a. The cook had to calculate the number of diners to see whether he could decrease his order for meat.

b. In order to see how expensive the car was, the buyer calculated the tax and other charges.

c. I used an abacus to calculate my average."
Absorb;19;[ab·sorb || əb'sɔːb];"take in or suck up (liquids); interest greatly";جذب کردن یا مکیدن ( مایعات ) ، بسیار علاقه مند کردن;"a. The sponge absorbed the beer which had leaked from the keg.

b. Our bodies must absorb those things which will nourish them.

c. I became absorbed in what the teacher was saying and did not hear the bell ring."
Estimate;19;[es·ti·mate || 'estɪmeɪt];"form a judgment or opinion about; guess";درباره چیزی اظهار نظر کردن ، حدس زدن;"a. A.J. Foyt estimated that the auto race would commence at nine o'clock.

b. I try to avoid making estimates on things I know nothing about.

c. In your estimate, who will be victorious in this conflict?"
Morsel;19;[mor·sel || 'mɔrsl /'mɔːsl];"a small bite; mouthful; tiny amount";گاز کوچک ، به اندازه ی یک دهان ، مقدار بسیار کم;"a. When Reynaldo went into the restaurant, he pledged to eat every morsel on his plate.

b. Suzanne was reluctant to try even a morsel of the lobster.

c. If you had a morsel of intelligence, you would be uneasy, too."
Quota;19;[quo·ta || 'kwəʊtə];share of a total due from or to a particular state, district, person, etc.;سهمی از یک کل برای یک ایالت ، بخش ، شخص و غیره ، حصه;"a. The company revealed a quota of jobs reserved for college students.

b. There was a quota placed on the number of people who could migrate here from China.

c. Lieutenant Dugan doubted that a quota had been placed on the number of parking tickets each police officer was supposed to 

give out."
Threat;19;[θret];sign or cause of possible evil or harm;نشانه یا علت آسیب یا شرارت ممکن ، تهدید;"a. There is always the horrid threat that my job will be abolished.

b. It is absurd to think that a tiny bug could be a threat to a person.

c. You can be arrested for making a threat against someone's life."
Ban;19;[bæn];"prohibit; forbid";ممنوع کردن ، قدغن کردن;"a. The group unanimously voted to ban all people who were under six feet.

b. Health officials are trying to expand their field in order to ban cigarette advertising from newspapers and magazines.

c. I want to ban all outsiders from our discussion on security."
Panic;19;[pan·ic || 'pænɪk];"unreasoning fear; fear spreading through a group of people so that they lose control of themselves";ترس بی دلیل ، ترسی که در بین گروهی از افرا دفراگیر می شود بگونه ای که کنترل خود را از دست می دهند;"a. The leader of the lost group appealed to them not to panic.

b. When the danger was exaggerated, a few people started to panic.

c. The source of panic in the crowd was a man with a gun."
Appropriate;19;[ap·pro·pri·ate || ə'prəʊprɪət];"fit; set apart for some special use";مناسب ، کنار گذاشتن برای کاربرد خاصی;"a. At an appropriate time, the chief promised to reveal his plan.

b. The lawn was an appropriate setting for Eileen's wedding.

c. After some appropriate prayers, the dinner was served."
Emerge;20;[e·merge || ɪ'mɜːdʒ];"come out; come up; come into view";بیرون آمدن ، پدیدار شدن ، نمایان شدن;"a. When the fight was over, the underdog emerged the winner.

b. You have to be nimble to emerge from the narrow opening in five seconds.

c. What emerged from the bottle was a blend of fruit juices."
Jagged;20;['jag·ged || 'dʒægɪd];"with sharp points sticking out; unevenly cut or torn";دارای نوک های تیز که بیرون زده اند ، یکنواخت بریده یا پاره نشده است;"a. Being reckless, Rudy didn't watch out for the jagged steel.

b. It's an enormous job to smooth the jagged edge of a fence.

c. Leslie's hair was so jagged it was scarcely possible to tell that it had just been cut."
Linger;20;[lin·ger || 'lɪŋgə(r)];"stay on; go slowly as if unwilling to leave";ماندن ، آرام حرکت کردن ، گویی که مایل به ترک نیست;"a. The odor didn't vanish but lingered on for weeks.

b. Some traditions linger on long after they have lost their meanings.

c. After the campus closed for the summer, some students lingered on, reluctant to go home."
